,x_left_wrist,y_left_wrist,x_left_elbow,y_left_elbow,x_left_shoulder,y_left_shoulder,x_right_wrist,y_right_wrist,x_right_elbow,y_right_elbow,x_right_shoulder,y_right_shoulder,waving
0,0.6679299,0.44455323,0.6640848,0.35814342,0.63523084,0.2824637,0.49080223,0.444943,0.5069988,0.3670964,0.53462625,0.28807026,0
1,0.6665659,0.4576174,0.65984654,0.3645333,0.6316087,0.28474763,0.5007371,0.45147225,0.5092375,0.36063096,0.53628564,0.28827202,0
2,0.6672191,0.4501565,0.6643177,0.3555445,0.633817,0.27997848,0.48874673,0.44728026,0.5111275,0.36285457,0.5366742,0.28699192,0
3,0.6764199,0.4538018,0.6626941,0.36313206,0.63310087,0.2803981,0.4903395,0.4490577,0.5102571,0.36435515,0.53238404,0.28679335,0
4,0.6726421,0.4629246,0.677025,0.35799548,0.63882506,0.27612272,0.5000867,0.45748875,0.50534815,0.36091298,0.5311506,0.2824077,0
5,0.62814057,0.4785386,0.6359344,0.37217784,0.6190097,0.29239854,0.49973196,0.4569425,0.49551702,0.36189848,0.5210781,0.2853726,0
6,0.6098532,0.30836233,0.62166965,0.3495347,0.6003171,0.27830404,0.48509353,0.37105733,0.4687507,0.35283065,0.4985572,0.27876914,0
7,0.57725215,0.48168695,0.60757554,0.37730512,0.58901787,0.28227136,0.4664486,0.47658664,0.46249378,0.3749237,0.4745766,0.28288913,0
8,0.5900566,0.4545818,0.60296905,0.36347002,0.5758658,0.27975032,0.42624137,0.47742018,0.43950078,0.37335676,0.45852572,0.27787387,0
9,0.59986687,0.47028297,0.6002304,0.37316164,0.58097494,0.28466335,0.42216092,0.47755325,0.44187492,0.37720212,0.4642101,0.28104258,0
10,0.6065601,0.48044357,0.6100154,0.36858857,0.5903386,0.2837865,0.43716216,0.462569,0.45662877,0.37314886,0.47672555,0.28036314,0
11,0.6116134,0.47114974,0.6166958,0.362808,0.6014122,0.27868414,0.502105,0.47051466,0.4808844,0.38383216,0.48195827,0.270357,0
12,0.60380435,0.47077483,0.6144928,0.3688966,0.59840316,0.28350732,0.48256302,0.46798024,0.46497333,0.37924132,0.47576606,0.27112785,0
13,0.5822796,0.41646215,0.6123352,0.34909785,0.5911783,0.28140852,0.45245144,0.4421292,0.44208622,0.35776684,0.46773303,0.26914498,0
14,0.59629,0.40945515,0.61694974,0.33458012,0.58762676,0.27406922,0.43376338,0.4180133,0.42726266,0.3420717,0.46819067,0.26519275,0
15,0.5896674,0.40189016,0.6168586,0.33437252,0.5847887,0.27580085,0.4464322,0.4201855,0.42241535,0.34587523,0.461835,0.26673883,0
16,0.5940355,0.40456492,0.61559165,0.33443925,0.583618,0.27225533,0.43804252,0.4224466,0.41994357,0.33466023,0.4602333,0.26234797,0
17,0.5852599,0.40925094,0.61597323,0.33701548,0.5803406,0.2732296,0.4325666,0.39411324,0.41882548,0.33550328,0.46101803,0.26976302,0
18,0.58700836,0.3877818,0.63182014,0.32285732,0.5895792,0.2698704,0.44909352,0.37073094,0.4118495,0.32078373,0.45464456,0.25914264,0
19,0.5950583,0.39227054,0.62050223,0.32161662,0.5794012,0.27080414,0.43826956,0.38132212,0.42191443,0.32536158,0.4680917,0.2657949,0
20,0.6025122,0.39532048,0.6209556,0.32761624,0.5800207,0.26984248,0.42641395,0.38346028,0.42519158,0.3356936,0.47299993,0.2663047,0
21,0.5937851,0.39803112,0.61469424,0.33594343,0.58530927,0.27076045,0.44643295,0.44445807,0.44376895,0.351044,0.47188148,0.26286605,0
22,0.578747,0.4423257,0.6020907,0.36471915,0.5842114,0.27634048,0.44513232,0.45439538,0.44613177,0.36195844,0.46904755,0.26067406,0
23,0.5865797,0.46034396,0.60004985,0.36388588,0.5796099,0.28128642,0.4471705,0.46060282,0.4500203,0.36252913,0.4671615,0.2665228,0
24,0.58640987,0.4152652,0.6033709,0.35267863,0.5799257,0.2776457,0.4537679,0.41335437,0.4377694,0.35115576,0.4702664,0.26835448,0
25,0.58915395,0.45604557,0.60012627,0.36672783,0.58227855,0.27931803,0.45462734,0.46037436,0.4512686,0.35991535,0.4663323,0.26808292,0
26,0.58942854,0.4370428,0.60347044,0.36631304,0.58079076,0.27839693,0.44050452,0.44755828,0.44847083,0.36119434,0.46326083,0.26127484,0
27,0.58917606,0.4500433,0.60311747,0.37402388,0.5837786,0.28514224,0.44388127,0.46763402,0.45421463,0.37433586,0.4653097,0.2667791,0
28,0.60041773,0.48552737,0.5978874,0.38737497,0.57780087,0.2919434,0.43542922,0.4669859,0.4501738,0.37547702,0.46590242,0.27738872,0
29,0.6214006,0.41845188,0.6165747,0.37585872,0.58014435,0.29537833,0.4222539,0.45279604,0.42915675,0.3744317,0.46415138,0.28196585,0
30,0.61188024,0.43287274,0.6057893,0.37387523,0.5841235,0.29192758,0.44202814,0.45792982,0.44704863,0.36522815,0.47322267,0.27943838,0
31,0.595587,0.46964976,0.6013024,0.38333273,0.5804228,0.28666994,0.4337275,0.4712965,0.44743854,0.37108552,0.46726954,0.2744031,0
32,0.6091472,0.48127788,0.60126346,0.38987276,0.5782954,0.2893839,0.43182844,0.46755654,0.45118642,0.37824702,0.4657106,0.2757537,0
33,0.6181383,0.45905584,0.6027379,0.37580165,0.5781513,0.28969508,0.41877747,0.46217784,0.44667697,0.3788755,0.46796867,0.27920875,0
34,0.6120648,0.46975622,0.6024874,0.38029763,0.58387697,0.287647,0.41370997,0.46689805,0.44247767,0.38763994,0.46618247,0.27954915,0
35,0.59916943,0.459243,0.6072323,0.37742633,0.5850966,0.2854079,0.44240052,0.47280407,0.45418295,0.37490165,0.4682784,0.27847564,0
36,0.5763695,0.44599235,0.60751784,0.37334678,0.5889411,0.28363878,0.47321767,0.4540834,0.4490033,0.3793541,0.46085975,0.27371237,0
37,0.59788847,0.47769293,0.60631573,0.38990927,0.58773005,0.28638035,0.4277497,0.47796726,0.45027244,0.39381546,0.4654073,0.2756322,0
38,0.61982226,0.4742616,0.60509765,0.37727377,0.5814024,0.2886192,0.4100247,0.46805128,0.4347602,0.38341445,0.46844876,0.27860388,0
39,0.627486,0.45510846,0.6050973,0.36347362,0.5796228,0.28669345,0.4039888,0.48231122,0.43280149,0.37642103,0.4691993,0.27864623,0
40,0.6209951,0.47270107,0.6048936,0.38025972,0.58145124,0.28603047,0.40987492,0.46851605,0.43131754,0.38007963,0.4647076,0.2767617,0
41,0.6759114,0.42204162,0.6154151,0.3693025,0.5775263,0.2823269,0.42103824,0.46527332,0.44109887,0.3719693,0.45519578,0.27771854,1
42,0.61847085,0.3545042,0.6110756,0.34333062,0.57334685,0.27004355,0.41705775,0.46417463,0.44272685,0.37230116,0.4577464,0.27958807,1
43,0.66131663,0.2536487,0.6350361,0.32759494,0.5800008,0.27197236,0.41820687,0.46790168,0.4414667,0.37408635,0.4606222,0.27882606,1
44,0.6147965,0.240069,0.6464642,0.29840115,0.5797605,0.27262497,0.42088443,0.465002,0.44115728,0.3698828,0.45630854,0.27892667,1
45,0.6576804,0.22305582,0.64429134,0.31255168,0.58290505,0.27861357,0.41781518,0.4698381,0.44004127,0.37777567,0.45777544,0.28314415,1
46,0.6409931,0.24168187,0.6520599,0.3071939,0.58008486,0.2757665,0.41695404,0.46952876,0.44161218,0.37259465,0.45690513,0.27954048,1
47,0.61624527,0.24909693,0.64890623,0.30408555,0.58069706,0.27282107,0.4188822,0.46959394,0.44225287,0.3735118,0.45788988,0.28242767,1
48,0.65723974,0.22694056,0.6516909,0.3135687,0.5816576,0.2784617,0.41816947,0.47019133,0.4402233,0.37595737,0.45796853,0.28515935,1
49,0.6279464,0.229138,0.64832556,0.30383044,0.5776761,0.27395195,0.4186576,0.46847856,0.43890393,0.3766302,0.4588911,0.28528935,1
50,0.6225956,0.21966946,0.65344805,0.30040622,0.5793911,0.27042544,0.4150105,0.4707546,0.44204205,0.37776262,0.4591473,0.28581536,1
51,0.6545869,0.231163,0.64956117,0.31058425,0.57797396,0.2808737,0.41839916,0.4672234,0.44147357,0.37248346,0.46084738,0.28639013,1
52,0.6166821,0.24735843,0.6447671,0.30562896,0.5747233,0.27250928,0.41889626,0.46865556,0.44143686,0.37673068,0.45994326,0.28601003,1
53,0.6174229,0.26528984,0.6483027,0.307416,0.57723665,0.27060324,0.41938168,0.46536815,0.4442843,0.36764878,0.4606516,0.28287846,1
54,0.65286905,0.22041214,0.64396894,0.30886823,0.5776599,0.27967077,0.41958326,0.46649355,0.44159353,0.36767185,0.46006936,0.2861203,1
55,0.6516578,0.23821333,0.6496186,0.31020677,0.58144426,0.27981365,0.4177482,0.46677953,0.44094807,0.37287837,0.4622308,0.288054,1
56,0.6492369,0.24026787,0.6477721,0.313895,0.579425,0.2790578,0.41817915,0.46856838,0.43982384,0.37921697,0.45945507,0.28687984,1
57,0.6574985,0.22672306,0.65078294,0.31184706,0.58131695,0.27853265,0.4172419,0.46748585,0.43820223,0.37553632,0.46167693,0.28635177,1
58,0.6613619,0.28169954,0.6325052,0.3292578,0.57635146,0.275418,0.41339648,0.46863794,0.43306583,0.38477573,0.45941663,0.28416282,1
