,x,y,label,waving,,,,,,,,,,,,
0,0.28444844,0.28444844,5,0,,,"How should we save our data in csv files, like this, with the frame number, or all in one row?",,,,,,,,,yes
1,0.29551953,0.29551953,6,0,,,,,,,,,,,,
2,0.4022784,0.4022784,7,0,,,,,,,,,,,,
3,0.3919822,0.3919822,8,0,,,,,,,,,,,,
4,0.51671505,0.51671505,9,0,,,"We think we only want to have a backlog of about ten frames (approx 2sec) in the LSTM, is that good?",,,,,,,,,
5,0.30027875,0.30027875,10,0,,,,,,,,,,,,
6,0.28444844,0.28444844,5,0,,,,,,,,,,,,
7,0.29551953,0.29551953,6,0,,,,,,,,,,,,
8,0.4022784,0.4022784,7,0,,,,,,,,,,,,
9,0.3919822,0.3919822,8,0,,,,,,,don’t put them all in the same file if shuffling,,,,,
10,0.51671505,0.51671505,9,0,,,,,,,,,,,,
11,0.30027875,0.30027875,10,0,,,,,,,,,,,,
12,0.28444844,0.28444844,5,0,,,,,,,,,,,,
13,0.29551953,0.29551953,6,0,,,,,,,,,,,,
14,0.4022784,0.4022784,7,0,,,,,,,,holdout 4 videos (20%?),,,,
15,0.3919822,0.3919822,8,0,,,,,,,,,,,,
16,0.51671505,0.51671505,9,0,,,,,,,,,,feed in multiple frames then it could identify the motion,,
17,0.30027875,0.30027875,10,0,,,,,,,,,,,,
18,0.28444844,0.28444844,5,0,,,,,,,,,,,,
19,0.29551953,0.29551953,6,0,,,,,,,,,,,,
20,0.4022784,0.4022784,7,0,,,,,,,,,,,,
21,0.3919822,0.3919822,8,0,,,,,,,,,,,,
22,0.51671505,0.51671505,9,0,,,,,,,,,,,,
23,0.30027875,0.30027875,10,0,,,,,,,,,,,,
24,0.28444844,0.28444844,5,0,,,,,,,,,,,,
25,0.29551953,0.29551953,6,0,,,,,,,,,,,,
26,0.4022784,0.4022784,7,0,,,,,,,,,,,,
27,0.3919822,0.3919822,8,0,,,,,,,,,,,,
28,0.51671505,0.51671505,9,0,,,,,,,,,,,,
29,0.30027875,0.30027875,10,0,,,,,,,,,,,,
30,0.28444844,0.28444844,5,0,,,,,,,,,,,,
31,0.29551953,0.29551953,6,0,,,,,,,,,,,,
32,0.4022784,0.4022784,7,0,,,,,,,,,,,,
33,0.3919822,0.3919822,8,0,,,,,,,,,,,,
34,0.51671505,0.51671505,9,0,,,,,,,,,,,,
35,0.30027875,0.30027875,10,0,,,,,,,,,,,,
36,0.28444844,0.28444844,5,0,,,,,,,,,,,,
37,0.29551953,0.29551953,6,0,,,,,,,,,,,,
38,0.4022784,0.4022784,7,0,,,,,,,,,,,,
39,0.3919822,0.3919822,8,0,,,,,,,,,,,,
40,0.51671505,0.51671505,9,0,,,,,,,,,,,,
41,0.30027875,0.30027875,10,0,,,,,,,,,,,,
42,0.28444844,0.28444844,5,0,,,,,,,,,,,,
43,0.29551953,0.29551953,6,0,,,,,,,,,,,,
44,0.4022784,0.4022784,7,0,,,,,,,,,,,,
45,0.3919822,0.3919822,8,0,,,,,,,,,,,,
46,0.51671505,0.51671505,9,0,,,,,,,,,,,,
47,0.30027875,0.30027875,10,0,,,,,,,,,,,,
48,0.28444844,0.28444844,5,0,,,,,,,,,,,,
49,0.29551953,0.29551953,6,0,,,,,,,,,,,,
50,0.4022784,0.4022784,7,0,,,,,,,,,,,,
51,0.3919822,0.3919822,8,0,,,,,,,,,,,,
52,0.51671505,0.51671505,9,0,,,,,,,,,,,,
53,0.30027875,0.30027875,10,0,,,,,,,,,,,,
54,0.28444844,0.28444844,5,0,,,,,,,,,,,,
55,0.29551953,0.29551953,6,0,,,,,,,,,,,,
56,0.4022784,0.4022784,7,0,,,,,,,,,,,,
57,0.3919822,0.3919822,8,0,,,,,,,,,,,,
58,0.51671505,0.51671505,9,0,,,,,,,,,,,,
59,0.30027875,0.30027875,10,0,,,,,,,,,,,,
60,0.28444844,0.28444844,5,0,,,,,,,,,,,,
61,0.29551953,0.29551953,6,0,,,,,,,,,,,,
62,0.4022784,0.4022784,7,0,,,,,,,,,,,,
63,0.3919822,0.3919822,8,0,,,,,,,,,,,,
64,0.51671505,0.51671505,9,0,,,,,,,,,,,,
65,0.30027875,0.30027875,10,0,,,,,,,,,,,,
66,0.28444844,0.28444844,5,0,,,,,,,,,,,,
67,0.29551953,0.29551953,6,0,,,,,,,,,,,,
68,0.4022784,0.4022784,7,0,,,,,,,,,,,,
69,0.3919822,0.3919822,8,0,,,,,,,,,,,,
