,x,y,label,waving
0,0.3197408,0.3197408,5,0
1,0.3306464,0.3306464,6,0
2,0.44592702,0.44592702,7,0
3,0.47735447,0.47735447,8,0
4,0.32045633,0.32045633,9,0
5,0.5356757,0.5356757,10,0
6,0.3197408,0.3197408,5,0
7,0.3306464,0.3306464,6,0
8,0.44592702,0.44592702,7,0
9,0.47735447,0.47735447,8,0
10,0.32045633,0.32045633,9,0
11,0.5356757,0.5356757,10,0
12,0.3197408,0.3197408,5,0
13,0.3306464,0.3306464,6,0
14,0.44592702,0.44592702,7,0
15,0.47735447,0.47735447,8,0
16,0.32045633,0.32045633,9,0
17,0.5356757,0.5356757,10,0
18,0.3197408,0.3197408,5,0
19,0.3306464,0.3306464,6,0
20,0.44592702,0.44592702,7,0
21,0.47735447,0.47735447,8,0
22,0.32045633,0.32045633,9,0
23,0.5356757,0.5356757,10,0
24,0.3197408,0.3197408,5,0
25,0.3306464,0.3306464,6,0
26,0.44592702,0.44592702,7,0
27,0.47735447,0.47735447,8,0
28,0.32045633,0.32045633,9,0
29,0.5356757,0.5356757,10,0
30,0.3197408,0.3197408,5,0
31,0.3306464,0.3306464,6,0
32,0.44592702,0.44592702,7,0
33,0.47735447,0.47735447,8,0
34,0.32045633,0.32045633,9,0
35,0.5356757,0.5356757,10,0
36,0.3197408,0.3197408,5,0
37,0.3306464,0.3306464,6,0
38,0.44592702,0.44592702,7,0
39,0.47735447,0.47735447,8,0
40,0.32045633,0.32045633,9,0
41,0.5356757,0.5356757,10,0
42,0.3197408,0.3197408,5,0
43,0.3306464,0.3306464,6,0
44,0.44592702,0.44592702,7,0
45,0.47735447,0.47735447,8,0
46,0.32045633,0.32045633,9,0
47,0.5356757,0.5356757,10,0
48,0.3197408,0.3197408,5,0
49,0.3306464,0.3306464,6,0
50,0.44592702,0.44592702,7,0
51,0.47735447,0.47735447,8,0
52,0.32045633,0.32045633,9,0
53,0.5356757,0.5356757,10,0
54,0.3197408,0.3197408,5,0
55,0.3306464,0.3306464,6,0
56,0.44592702,0.44592702,7,0
57,0.47735447,0.47735447,8,0
58,0.32045633,0.32045633,9,0
59,0.5356757,0.5356757,10,0
60,0.3197408,0.3197408,5,0
61,0.3306464,0.3306464,6,0
62,0.44592702,0.44592702,7,0
63,0.47735447,0.47735447,8,0
64,0.32045633,0.32045633,9,0
65,0.5356757,0.5356757,10,0
66,0.3197408,0.3197408,5,0
67,0.3306464,0.3306464,6,0
68,0.44592702,0.44592702,7,0
69,0.47735447,0.47735447,8,0
70,0.32045633,0.32045633,9,0
71,0.5356757,0.5356757,10,0
72,0.3197408,0.3197408,5,0
73,0.3306464,0.3306464,6,0
74,0.44592702,0.44592702,7,0
75,0.47735447,0.47735447,8,0
76,0.32045633,0.32045633,9,0
